travelCode,userCode,from,to,flightType,price_flight,time,distance,agency,date_flight,year,month,day,day_of_week,name,place,days,price_hotel,total,date_hotel,booking_month
0,0,Recife (PE),Florianopolis (SC),firstClass,1434.38,1.76,676.53,FlyingDrops,2019-09-26,2019,9,26,Thursday,Hotel A,Florianopolis (SC),4,313.02,1252.08,2019-09-26,9
0,0,Florianopolis (SC),Recife (PE),firstClass,1292.29,1.76,676.53,FlyingDrops,2019-09-30,2019,9,30,Monday,Hotel A,Florianopolis (SC),4,313.02,1252.08,2019-09-26,9
2,0,Aracaju (SE),Salvador (BH),firstClass,1684.05,2.16,830.86,CloudFy,2019-10-10,2019,10,10,Thursday,Hotel K,Salvador (BH),2,263.41,526.82,2019-10-10,10
2,0,Salvador (BH),Aracaju (SE),firstClass,1531.92,2.16,830.86,CloudFy,2019-10-12,2019,10,12,Saturday,Hotel K,Salvador (BH),2,263.41,526.82,2019-10-10,10
7,0,Aracaju (SE),Salvador (BH),economic,964.83,2.16,830.86,CloudFy,2019-11-14,2019,11,14,Thursday,Hotel K,Salvador (BH),3,263.41,790.23,2019-11-14,11
7,0,Salvador (BH),Aracaju (SE),economic,811.73,2.16,830.86,CloudFy,2019-11-17,2019,11,17,Sunday,Hotel K,Salvador (BH),3,263.41,790.23,2019-11-14,11
11,0,Brasilia (DF),Salvador (BH),premium,1268.97,1.76,676.56,Rainbow,2019-12-12,2019,12,12,Thursday,Hotel K,Salvador (BH),4,263.41,1053.64,2019-12-12,12
11,0,Salvador (BH),Brasilia (DF),premium,882.86,1.76,676.56,Rainbow,2019-12-16,2019,12,16,Monday,Hotel K,Salvador (BH),4,263.41,1053.64,2019-12-12,12
13,0,Recife (PE),Florianopolis (SC),firstClass,1434.38,1.76,676.53,FlyingDrops,2019-12-26,2019,12,26,Thursday,Hotel A,Florianopolis (SC),1,313.02,313.02,2019-12-26,12
13,0,Florianopolis (SC),Recife (PE),firstClass,1292.29,1.76,676.53,FlyingDrops,2019-12-27,2019,12,27,Friday,Hotel A,Florianopolis (SC),1,313.02,313.02,2019-12-26,12
15,0,Recife (PE),Natal (RN),premium,474.6,0.58,222.67,CloudFy,2020-01-09,2020,1,9,Thursday,Hotel BD,Natal (RN),2,242.88,485.76,2020-01-09,1
15,0,Natal (RN),Recife (PE),premium,563.23,0.58,222.67,CloudFy,2020-01-11,2020,1,11,Saturday,Hotel BD,Natal (RN),2,242.88,485.76,2020-01-09,1
22,0,Brasilia (DF),Aracaju (SE),firstClass,1214.82,1.11,425.98,Rainbow,2020-02-27,2020,2,27,Thursday,Hotel Z,Aracaju (SE),2,208.04,416.08,2020-02-27,2
22,0,Aracaju (SE),Brasilia (DF),firstClass,959.29,1.11,425.98,Rainbow,2020-02-29,2020,2,29,Saturday,Hotel Z,Aracaju (SE),2,208.04,416.08,2020-02-27,2
29,0,Aracaju (SE),Recife (PE),economic,604.14,1.44,555.74,CloudFy,2020-04-16,2020,4,16,Thursday,Hotel AU,Recife (PE),4,312.83,1251.32,2020-04-16,4
29,0,Recife (PE),Aracaju (SE),economic,684.88,1.44,555.74,CloudFy,2020-04-20,2020,4,20,Monday,Hotel AU,Recife (PE),4,312.83,1251.32,2020-04-16,4
32,0,Brasilia (DF),Sao Paulo (SP),firstClass,893.65,0.67,257.81,CloudFy,2020-05-07,2020,5,7,Thursday,Hotel AF,Sao Paulo (SP),2,139.1,278.2,2020-05-07,5
32,0,Sao Paulo (SP),Brasilia (DF),firstClass,742.94,0.67,257.81,CloudFy,2020-05-09,2020,5,9,Saturday,Hotel AF,Sao Paulo (SP),2,139.1,278.2,2020-05-07,5
33,0,Brasilia (DF),Salvador (BH),premium,1346.6,1.76,676.56,CloudFy,2020-05-14,2020,5,14,Thursday,Hotel K,Salvador (BH),4,263.41,1053.64,2020-05-14,5
33,0,Salvador (BH),Brasilia (DF),premium,836.89,1.76,676.56,CloudFy,2020-05-18,2020,5,18,Monday,Hotel K,Salvador (BH),4,263.41,1053.64,2020-05-14,5
34,0,Aracaju (SE),Sao Paulo (SP),premium,630.34,1.02,392.76,CloudFy,2020-05-21,2020,5,21,Thursday,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2020-05-21,5
34,0,Sao Paulo (SP),Aracaju (SE),premium,906.59,1.02,392.76,CloudFy,2020-05-24,2020,5,24,Sunday,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2020-05-21,5
38,0,Brasilia (DF),Natal (RN),firstClass,1433.35,1.43,550.69,FlyingDrops,2020-06-18,2020,6,18,Thursday,Hotel BD,Natal (RN),2,242.88,485.76,2020-06-18,6
38,0,Natal (RN),Brasilia (DF),firstClass,1192.62,1.43,550.69,FlyingDrops,2020-06-20,2020,6,20,Saturday,Hotel BD,Natal (RN),2,242.88,485.76,2020-06-18,6
39,0,Brasilia (DF),Salvador (BH),economic,958.15,1.76,676.56,CloudFy,2020-06-25,2020,6,25,Thursday,Hotel K,Salvador (BH),1,263.41,263.41,2020-06-25,6
39,0,Salvador (BH),Brasilia (DF),economic,587.85,1.76,676.56,CloudFy,2020-06-26,2020,6,26,Friday,Hotel K,Salvador (BH),1,263.41,263.41,2020-06-25,6
42,0,Recife (PE),Campo Grande (MS),premium,832.77,1.39,535.4,Rainbow,2020-07-16,2020,7,16,Thursday,Hotel BW,Campo Grande (MS),3,60.39,181.17,2020-07-16,7
42,0,Campo Grande (MS),Recife (PE),premium,991.22,1.39,535.4,Rainbow,2020-07-19,2020,7,19,Sunday,Hotel BW,Campo Grande (MS),3,60.39,181.17,2020-07-16,7
43,0,Recife (PE),Salvador (BH),firstClass,1484.94,2.05,788.55,CloudFy,2020-07-23,2020,7,23,Thursday,Hotel K,Salvador (BH),4,263.41,1053.64,2020-07-23,7
43,0,Salvador (BH),Recife (PE),firstClass,1440.02,2.05,788.55,CloudFy,2020-07-27,2020,7,27,Monday,Hotel K,Salvador (BH),4,263.41,1053.64,2020-07-23,7
45,0,Recife (PE),Natal (RN),premium,474.6,0.58,222.67,CloudFy,2020-08-06,2020,8,6,Thursday,Hotel BD,Natal (RN),1,242.88,242.88,2020-08-06,8
45,0,Natal (RN),Recife (PE),premium,563.23,0.58,222.67,CloudFy,2020-08-07,2020,8,7,Friday,Hotel BD,Natal (RN),1,242.88,242.88,2020-08-06,8
51,0,Recife (PE),Salvador (BH),premium,1242.65,2.05,788.55,CloudFy,2020-09-17,2020,9,17,Thursday,Hotel K,Salvador (BH),1,263.41,263.41,2020-09-17,9
51,0,Salvador (BH),Recife (PE),premium,1016.53,2.05,788.55,CloudFy,2020-09-18,2020,9,18,Friday,Hotel K,Salvador (BH),1,263.41,263.41,2020-09-17,9
