Feature,Importance
flightType_firstClass,0.29659700818041584
time,0.2523848934639953
distance,0.229979131221891
flightType_premium,0.07693133140568602
from_Florianopolis (SC),0.051405463458631534
to_Florianopolis (SC),0.01875368685797781
from_Sao Paulo (SP),0.014580105055627493
from_Brasilia (DF),0.013223012224831633
to_Sao Paulo (SP),0.006801724480153955
to_Natal (RN),0.0066339919773201516
to_Salvador (BH),0.005051922090839251
from_Campo Grande (MS),0.004599142278394934
to_Brasilia (DF),0.004429048611491033
to_Campo Grande (MS),0.003767487519477363
agency_Rainbow,0.0035810518964760245
from_Salvador (BH),0.002599612956047765
from_Natal (RN),0.0023740412629390003
agency_FlyingDrops,0.0019586602050332747
to_Rio de Janeiro (RJ),0.0018204889123331648
to_Recife (PE),0.001229942781542583
from_Recife (PE),0.0008546329220135049
from_Rio de Janeiro (RJ),0.0004436202367734663
month,1.0796785289011437e-13
